AOI,NAME,NAME_1,NonHispanicBlackAfricanAmerican2022Percentage,NeighborhoodAreaFt,AllSingleFamParcelsCount,CorpSspctParcelsCount,ProportionSingFamParcelsCorpSspct,ProportionSingleFamilyAreaCorpSspct,ProportionNeighborhoodAreaCorpSspct,CorpSspct_AreaFeetSum,CorpSspct_AreaFeetMin,CorpSspct_AreaFeetMax,CorpSspct_AreaFeetRange,CorpSspct_AreaFeetMean,CorpSspct_AreaFeetMedian,CorpSspct_AreaFeetStddev,CorpSspct_AreaFeetQ1,CorpSspct_AreaFeetQ3,CorpSspct_AreaFeetIqr,NotCorpSspctAreaFeet_Sum,NotCorpSspctAreaFeet_Min,NotCorpSspctAreaFeet_Max,NotCorpSspctAreaFeet_Range,NotCorpSspctAreaFeet_Mean,NotCorpSspctAreaFeet_Median,NotCorpSspctAreaFeet_Stddev,NotCorpSspctAreaFeet_Q1,NotCorpSspctAreaFeet_Q3,NotCorpSspctAreaFeet_Iqr
,Meadowbrook Forest,Meadowbrook Forest,94.9,3086026.485,94,18,0.191489362,0.174353452,0.121394725,374627.3354,8548.7854,132458.2859,123909.5005,20812.62975,14397.88,27306.46046,11827.06714,16827.05103,4999.983887,1774038.675,8702.606201,451224.8096,442522.2034,23342.61415,16563.37573,49864.35727,12680.85388,21258.71179,8577.85791
,Mellwood,Mellwood,97.9,1015011.348,56,10,0.178571429,0.206388968,0.210171966,213326.9302,11497.84009,68512.99097,57015.15088,21332.69302,15197.24084,16007.77107,13889.51978,19500.70825,5611.188477,820289.0242,11117.09961,113382.4822,102265.3826,17832.37009,14469.17529,14720.52391,13122.49927,19091.8147,5969.31543
,Memorial Park,Memorial Park,7.6,4042006.892,168,6,0.035714286,0.014811402,0.021990973,88887.66602,9077.20752,23271.56128,14194.35376,12698.238,9821.311279,4908.888191,9188.352905,14170.44006,4982.087158,5912412.406,25.31518555,1593760.998,1593735.683,35616.94221,16289.99878,172165.0224,12851.69409,20350.42725,7498.733154
,Midtown,Midtown,13,45668318.4,43,2,0.046511628,0.080378466,0.013004855,593909.8535,10129.63428,583780.2192,573650.585,296954.9268,296954.9268,286825.2925,10129.63428,583780.2192,573650.585,6795007.673,4049.380859,4732106.652,4728057.271,161785.897,21356.46289,721598.9058,16932.96997,39026.14478,22093.1748
,Midwest Cascade,Midwest Cascade,95.8,25982727.22,745,25,0.033557047,0.074799156,0.072478864,1883198.557,10764.7627,1019304.44,1008539.677,75327.94227,22879.35181,196682.6269,18432.54126,26422.2146,7989.67334,23293536.73,5522.106201,618929.9309,613407.8247,32307.26314,19699.20264,52836.55812,17465.80542,26448.9314,8983.125977
,Monroe Heights,Monroe Heights,79,10834012.22,229,36,0.15720524,0.511548264,0.608362229,6591003.825,7378.758057,2237548.084,2230169.326,164775.0956,16980.9978,425117.864,10364.74915,40663.81152,30299.06238,6293418.413,5210.37207,943074.845,937864.4729,28868.8918,11750.47705,93637.12318,9476.606445,16357.81055,6881.204102
,Morningside/Lenox Park,Morningside Lenox Park,5.6,62985511.66,2968,92,0.030997305,0.045896677,0.045443643,2862291.13,5441.593506,392604.2017,387162.6082,29508.15598,11718.64575,67367.35361,9350.88916,16772.43945,7421.550293,59501507.12,99.99902344,982924.7627,982824.7637,19572.86418,11072.91431,50885.56604,8949.864502,15675.04614,6725.181641
,Mozley Park,Mozley Park,77.4,12055696.33,867,176,0.202998847,0.157945038,0.119131117,1436208.565,2575.264893,22880.48853,20305.22363,8160.27594,7455.915649,2895.157068,6152.706177,9602.530273,3449.824097,7656882.168,411.0568848,1325617.873,1325206.816,11080.87144,7605.824463,51051.94747,6306.377808,9260.682251,2954.304443
,Mt. Gilead Woods,Mt. Gilead Woods,94.9,1550308.847,93,11,0.11827957,0.316009747,0.406315404,629914.3652,10079.84546,498470.7234,488390.8779,57264.94229,13110.56616,139532.6376,12357.92944,13971.08264,1613.153198,1363424.041,8598.722656,46051.38916,37452.6665,16627.12245,13088.92957,8641.061694,11509.1853,17861.3125,6352.127197
,Mt. Paran/Northside,Mt. Paran Northside,6.9,59594896.42,681,57,0.083700441,0.154589318,0.157548435,9389082.647,4506.426758,1765705.813,1761199.386,164720.7482,92262.49121,257525.2819,45954.79858,129338.8337,83384.03516,51346566.98,626.5825195,799795.9207,799169.3381,79979.0763,55567.67615,83979.67798,44703.48218,85532.20117,40828.71899
,Mt. Paran Parkway,Mt. Paran Parkway,6.9,3945506.094,100,11,0.11,0.167616138,0.346711845,1367953.697,12863.38184,394458.4644,381595.0825,105227.2074,54550.55762,124568.0127,46375.03662,65911.57715,19536.54053,6793275.363,37854.20215,598660.9575,560806.7554,69319.13636,47744.01904,84538.93863,44863.05688,56184.44702,11321.39014
,Niskey Cove,Niskey Cove,91.9,2286925.856,83,9,0.108433735,0.507402626,1.455529619,3328688.32,16228.8667,1156095.57,1139866.704,277390.6933,30042.43665,426488.5432,18315.95984,505414.562,487098.6022,3231562.16,11947.17236,582356.6389,570409.4666,36309.6872,23223.54224,60682.14082,19395.08618,39517.37622,20122.29004
,Niskey Lake,Niskey Lake,91.9,11762231.76,155,32,0.206451613,0.242874699,0.33934438,3991447.24,18327.54956,2077367.823,2059040.273,117395.507,25868.15576,351374.0374,22592.33179,44798.62598,22206.29419,12442735.75,2121.677979,2744744.181,2742622.503,95713.35192,40645.55713,260072.714,25161.76245,69260.01855,44098.2561
,North Buckhead,North Buckhead,14.6,74363200.27,1931,103,0.053340238,0.055898929,0.065759342,4890075.113,2502.920654,356917.6653,354414.7446,46572.14393,23806.06592,66060.80988,19228.3335,33680.94434,14452.61084,82590582.74,347.9321289,437498.5325,437150.6003,46139.99036,21799.31482,91810.03046,17221.82983,29782.54834,12560.71851
Y,Norwood Manor,Norwood Manor,89.9,14478201.04,235,85,0.361702128,0.453357536,0.226304155,3276477.052,3476.197998,1187850.939,1184374.741,34489.23213,9064.22876,143958.3805,5065.782715,11130.39795,6064.615234,3950660.012,752.7529297,597151.7878,596399.0349,25821.30727,9984.178711,77143.28948,9050.452637,12735.16479,3684.712158
,Oakcliff,Oakcliff,93.1,2916579.045,98,19,0.193877551,0.453897398,0.419344054,1223050.08,6454.646484,796644.3616,790189.7151,64371.05683,10939.73804,175139.9008,9011.58374,21538.05286,12526.46912,1471501.786,201.9699707,162720.2966,162518.3267,18626.60489,10166.33154,24338.67594,8362.498657,20424.21411,12061.71545
